,Unnamed: 0,Unnamed: 0.1,sourceName,double,speed,length
0,0,7079,Parkinsons,0.303,2.348783107,26.37795276
1,1,7080,Parkinsons,0.312,2.102720115,27.55905512
2,2,7081,Parkinsons,0.27899999999999997,3.1988188980000003,29.92125984
3,3,7082,Parkinsons,0.29,2.572476736,31.88976378
4,4,7083,Parkinsons,0.314,2.125089477,23.22834646
5,5,7084,Parkinsons,0.312,2.0803507519999997,20.86614173
6,6,7085,Parkinsons,0.325,1.8566571219999999,21.65354331
7,7,7086,Parkinsons,0.311,2.14745884,21.65354331
8,8,7087,Parkinsons,0.321,1.968503937,23.62204724
9,9,7088,Parkinsons,0.314,2.259305655,20.86614173
10,10,7089,Parkinsons,0.282,2.952755906,29.92125984
11,11,7090,Parkinsons,0.27899999999999997,2.818539728,28.34645669
12,12,7091,Parkinsons,0.287,2.796170365,29.13385827
13,13,7092,Parkinsons,0.3,2.415891195,25.98425197
14,14,7093,Parkinsons,0.32799999999999996,2.192197566,24.01574803
15,15,7094,Parkinsons,0.287,2.952755906,28.74015748
16,16,7095,Parkinsons,0.292,2.773801002,27.55905512
17,17,7096,Parkinsons,0.289,2.930386543,27.55905512
18,18,7097,Parkinsons,0.281,2.975125268,30.31496063
19,19,7098,Parkinsons,0.33399999999999996,2.035612026,23.22834646
20,20,7099,Parkinsons,0.327,1.946134574,20.07874016
21,21,7100,Parkinsons,0.244,3.6909448819999997,32.67716535
22,22,7101,Parkinsons,0.29600000000000004,2.393521832,24.40944882
23,23,7102,Parkinsons,0.28800000000000003,2.4606299209999998,24.40944882
24,24,7103,Parkinsons,0.28800000000000003,2.572476736,25.98425197
25,25,7104,Parkinsons,0.326,1.789549034,22.83464567
26,26,7105,Parkinsons,0.307,2.2369362919999998,24.80314961
27,27,7106,Parkinsons,0.32799999999999996,1.5882247669999998,22.04724409
28,28,7107,Parkinsons,0.289,1.655332856,19.29133858
29,29,7108,Parkinsons,0.28600000000000003,2.7514316389999998,24.80314961
30,30,7109,Parkinsons,0.295,3.109341446,29.13385827
31,31,7110,Parkinsons,0.321,3.109341446,29.52755906
32,32,7111,Parkinsons,0.332,2.192197566,22.44094488
33,33,7112,Parkinsons,0.31,2.013242663,20.86614173
34,34,7113,Parkinsons,0.324,2.8856478169999997,28.74015748
35,35,7114,Parkinsons,0.312,2.7514316389999998,26.37795276
36,36,7115,Parkinsons,0.319,2.9974946310000004,29.13385827
37,37,7116,Parkinsons,0.312,2.90801718,28.34645669
38,38,7117,Parkinsons,0.311,2.729062276,27.55905512
39,39,7118,Parkinsons,0.275,2.8632784539999996,28.34645669
40,40,7119,Parkinsons,0.303,2.7514316389999998,27.55905512
